date,nav
01-07-2022,689.07900
30-06-2022,690.11700
29-06-2022,690.35900
28-06-2022,690.87600
27-06-2022,688.47600
24-06-2022,681.22600
23-06-2022,676.13800
22-06-2022,671.28900
21-06-2022,680.18100
20-06-2022,665.45300
17-06-2022,666.97900
16-06-2022,669.75900
15-06-2022,684.41300
14-06-2022,686.80600
13-06-2022,688.10000
10-06-2022,707.29000
09-06-2022,716.35100
08-06-2022,711.23100
07-06-2022,713.19600
06-06-2022,716.84900
03-06-2022,718.54900
02-06-2022,721.21100
01-06-2022,716.79900
31-05-2022,717.20900
30-05-2022,717.20800
27-05-2022,704.61800
26-05-2022,699.42900
25-05-2022,691.97100
24-05-2022,694.05300
23-05-2022,697.65500
20-05-2022,699.54600
19-05-2022,681.66300
18-05-2022,697.05300
17-05-2022,699.81000
16-05-2022,682.54500
13-05-2022,679.14200
12-05-2022,682.37800
11-05-2022,695.53400
10-05-2022,699.03000
09-05-2022,704.97600
06-05-2022,709.72100
05-05-2022,717.60400
04-05-2022,716.92000
02-05-2022,730.61400
29-04-2022,730.82000
28-04-2022,739.54900
27-04-2022,730.71100
26-04-2022,737.71500
25-04-2022,728.31900
22-04-2022,741.48400
21-04-2022,751.42300
20-04-2022,741.30000
19-04-2022,735.49300
18-04-2022,741.70200
13-04-2022,750.00000
12-04-2022,750.42000
11-04-2022,758.03200
08-04-2022,760.81000
07-04-2022,755.03400
06-04-2022,759.90700
05-04-2022,761.57000
04-04-2022,763.28100
01-04-2022,747.83500
31-03-2022,736.00600
30-03-2022,736.49600
29-03-2022,731.16900
28-03-2022,728.56100
25-03-2022,725.56200
24-03-2022,728.23700
23-03-2022,727.60300
22-03-2022,730.18600
21-03-2022,722.72800
17-03-2022,727.91400
16-03-2022,717.23500
15-03-2022,704.65000
14-03-2022,713.25100
11-03-2022,705.90600
10-03-2022,702.40400
09-03-2022,694.90600
08-03-2022,684.29400
07-03-2022,677.23700
04-03-2022,690.73100
03-03-2022,699.84900
02-03-2022,701.79100
28-02-2022,706.61000
25-02-2022,699.79600
24-02-2022,681.54600
23-02-2022,715.17000
22-02-2022,717.15200
21-02-2022,723.64000
18-02-2022,727.19400
17-02-2022,727.78600
16-02-2022,729.74400
15-02-2022,731.15600
14-02-2022,713.00800
11-02-2022,735.98700
10-02-2022,744.32200
09-02-2022,738.43700
08-02-2022,729.97900
07-02-2022,730.21200
04-02-2022,740.12300
03-02-2022,743.92700
02-02-2022,751.69500
01-02-2022,745.02100
31-01-2022,738.54900
28-01-2022,727.73300
27-01-2022,726.50800
25-01-2022,731.06700
24-01-2022,722.94600
21-01-2022,738.23000
20-01-2022,747.47200
19-01-2022,753.43600
18-01-2022,755.93800
17-01-2022,764.19800
14-01-2022,762.31200
13-01-2022,762.10400
12-01-2022,758.01300
11-01-2022,751.30000
10-01-2022,749.96600
07-01-2022,739.90300
06-01-2022,737.88700
05-01-2022,743.78900
04-01-2022,739.72800
03-01-2022,732.75300
31-12-2021,721.12100
30-12-2021,716.02100
29-12-2021,716.57500
28-12-2021,718.26900
27-12-2021,711.56600
24-12-2021,708.20100
23-12-2021,712.63100
22-12-2021,706.27900
21-12-2021,697.90000
20-12-2021,691.29400
17-12-2021,708.55700
16-12-2021,719.96600
15-12-2021,720.51100
14-12-2021,725.10500
13-12-2021,725.13800
10-12-2021,729.51200
09-12-2021,729.17100
08-12-2021,726.82200
07-12-2021,715.36200
06-12-2021,705.10800
03-12-2021,715.27100
02-12-2021,721.31300
01-12-2021,713.06700
30-11-2021,705.55000
29-11-2021,706.72400
26-11-2021,710.09900
25-11-2021,730.82500
24-11-2021,727.83100
23-11-2021,729.42000
22-11-2021,723.50300
18-11-2021,739.23800
17-11-2021,745.00400
16-11-2021,748.96000
15-11-2021,755.29400
12-11-2021,757.18900
11-11-2021,750.52600
10-11-2021,756.88100
09-11-2021,757.40400
08-11-2021,757.29600
03-11-2021,746.56400
02-11-2021,747.60400
01-11-2021,747.71500
29-10-2021,737.28700
28-10-2021,744.02400
27-10-2021,762.81400
26-10-2021,763.68000
25-10-2021,758.64000
22-10-2021,756.53400
21-10-2021,761.15400
20-10-2021,761.90400
19-10-2021,768.17000
18-10-2021,772.68000
14-10-2021,765.85200
13-10-2021,758.31700
12-10-2021,751.20400
11-10-2021,749.97200
08-10-2021,744.40500
07-10-2021,742.00000
06-10-2021,736.62300
05-10-2021,744.54400
04-10-2021,737.76700
01-10-2021,729.74900
30-09-2021,731.95800
29-09-2021,735.46800
28-09-2021,730.26800
27-09-2021,729.23100
24-09-2021,727.26800
23-09-2021,728.93900
22-09-2021,717.27100
21-09-2021,716.10600
20-09-2021,711.70200
17-09-2021,721.88100
16-09-2021,725.05700
15-09-2021,718.83300
14-09-2021,709.99900
13-09-2021,707.95900
09-09-2021,707.60500
08-09-2021,707.24100
07-09-2021,705.62900
06-09-2021,707.07600
03-09-2021,706.25600
02-09-2021,701.99500
